flavor,description,image,price,producer
CBSe Naranja (pomarańczowa),"CBSé Naranja 0,5 kg 500 g to argentyńska yerba mate o smaku pomarańczowym. Jest delikatna w smaku, lekko kwaskowa i orzeźwiająca. Dobrze pobudza. Polecamy!",www.poyerbani.pl/pol_pl_CBSe-Naranja-pomaranczowa-0-5kg-1036_1.jpg,26.99,CBSé
CBSe Pomelo 0.5kg (grejpfrut),"CBSé Pomelo 0,5 kg 500 g to argentyńska yerba mate o smaku grejpfruta. Jest delikatna w smaku, lekko kwaskowa i orzeźwiająca. Dobrze pobudza. Polecamy!",www.poyerbani.pl/pol_pl_CBSe-Pomelo-0-5kg-grejpfrut-1039_1.jpg,26.99,CBSé
CBSe Regulase Regularis 0.5kg,"CBSé Regulase Regularis 0,5 kg 500 g to argentyńska yerba mate z ziołowymi dodatkami. Jest delikatna w smaku i orzeźwiająca. Dobrze pobudza. Polecamy!",www.poyerbani.pl/pol_pl_CBSe-Regulase-Regularis-0-5kg-1042_1.jpg,26.99,CBSé
CBSe Silueta,"CBSé Silueta 0,5 kg 500 g to argentyńska yerba mate z ziołowymi dodatkami. Jest delikatna w smaku i orzeźwiająca. Dobrze pobudza. Polecamy!",www.poyerbani.pl/pol_pl_CBSe-Silueta-0-5kg-1045_1.jpg,26.99,CBSé
CBSe Silueta Naranja (pomarańczowa),"CBSe Silueta Naranja 0,5 kg 500 g to argentyńska yerba mate o smaku pomarańczowym. Cechuje się delikatnie orzeźwiającym smakiem i cytrusowym zapachem Doskonale pobudza. Polecamy!",www.poyerbani.pl/pol_pl_CBSe-Silueta-Naranja-pomaranczowa-0-5kg-1048_2.png,24.99,CBSé
Colon Compuesta con Stevia,Colón Compuesta con Stevia 500 g to paragwajska yerba mate wzbogacona o stewię. Jej subtelnie słodki smak doskonale współgra z goryczką tradycyjnej yerby.,www.poyerbani.pl/pol_pl_Colon-Compuesta-con-Stevia-0-5kg-4016_1.png,23.90,Colon
Guarani Ashwagandha Cactus,"Dzięki dodatkowi ashwagandhy i żeń-szenia Guarani Ashwagandha Cactus pobudza, jak na paragwajską yerba mate przystało, ale robi to w sposób zrównoważony i stonowany.",www.poyerbani.pl/pol_pl_Guarani-Ashwagandha-Cactus-0-5-kg-9763_1.webp,19.99,Guarani
Guarani Ashwagandha Cactus 50 g,"Dzięki dodatkowi ashwagandhy i żeń-szenia Guarani Ashwagandha Cactus pobudza, jak na paragwajską yerba mate przystało, ale robi to w sposób zrównoważony i stonowany.",www.poyerbani.pl/pol_pl_Guarani-Ashwagandha-Cactus-50-g-9765_1.png,4.99,Guarani
Guarani Boldo Menta,Guarani Boldo Menta to jeden z bardzo popularnych w Ameryce Południowej rodzajów połączeń składników. Dymna i gorzka yerba mate została uzupełniona orzeźwiającą miętą i delikatnym boldo.,www.poyerbani.pl/pol_pl_Guarani-Boldo-Menta-0-5kg-5104_2.webp,19.90,Guarani
Guarani Boldo Menta 50g,Guarani Boldo Menta to jeden z bardzo popularnych w Ameryce Południowej rodzajów połączeń składników. Dymna i gorzka yerba mate została uzupełniona orzeźwiającą miętą i delikatnym boldo.,www.poyerbani.pl/pol_pl_Guarani-Boldo-Menta-50g-5542_4.png,4.99,Guarani
Guarani Cocoa,Guarani Cocoa to obowiązkowa propozycja dla fanów kokosów i czekolady - czuć je wyraźnie już przy pierwszym otworzeniu opakowania yerba mate!,www.poyerbani.pl/pol_pl_Guarani-Cocoa-0-5-kg-9755_6.webp,25.99,Guarani
Guarani Cocoa 50 g,"Guarani Cocoa to perfekcyjne połączenie mocnej, dymnej paragwajskiej yerba mate, gorzkiego kakao i wyrazistego w aromacie kokosa.",www.poyerbani.pl/pol_pl_Guarani-Cocoa-50-g-9757_1.png,4.99,Guarani
